imdb_id,director,plot,box_office,poster_url,runtime_minutes,metascore,imdb_rating,movieId,title,release_year,status
tt0114709,John Lasseter,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.","$229,693,424",https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX300.jpg,81 min,96.0,8.3,1,Toy Story (1995),1995.0,success
tt0113497,Joe Johnston,A magic board game summons jungle perils and a missing boy.,"$100,499,940",https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SX300.jpg,104 min,39.0,7.1,2,Jumanji (1995),1995.0,success
tt0113228,Howard Deutch,"Just as John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, its new female owner catches Max's attention.","$71,518,503",https://m.media-amazon.com/images/M/MV5BMjc0OWM2YTktZWYyMi00YzU1LTljYmEtYmMyNTRlMWFlMzI4XkEyXkFqcGc@._V1_SX300.jpg,101 min,46.0,6.7,3,Grumpier Old Men (1995),1995.0,success
tt0114885,Forest Whitaker,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.","$67,052,156",https://m.media-amazon.com/images/M/MV5BZWU4NzA3MDQtODYyOS00OTliLTk3MGEtYzM2ZjNkZmI5ODk5XkEyXkFqcGc@._V1_SX300.jpg,124 min,,6.0,4,Waiting to Exhale (1995),1995.0,success
tt0113041,Charles Shyer,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.","$76,594,107",https://m.media-amazon.com/images/M/MV5BOTMwNzE2Y2YtNzZhMy00YTljLWI1MzQtMTI3YjkxYTg2NjRmXkEyXkFqcGc@._V1_SX300.jpg,106 min,49.0,6.1,5,Father of the Bride Part II (1995),1995.0,success
tt0113277,Michael Mann,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"$67,436,818",https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_SX300.jpg,170 min,76.0,8.3,6,Heat (1995),1995.0,success
tt0114319,Sydney Pollack,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","$53,672,080",https://m.media-amazon.com/images/M/MV5BNGZiMmM3YjEtZmQ3Zi00OTQxLTk5MGQtOTBhMDM1MWVkNzFmXkEyXkFqcGc@._V1_SX300.jpg,127 min,56.0,6.3,7,Sabrina (1995),1995.0,success
tt0112302,Peter Hewitt,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,"$23,920,048",https://m.media-amazon.com/images/M/MV5BOGRlOTlkMDYtYjM4Ny00MGJhLWEyZGItMGYxYzUzNWQ1YWQ4XkEyXkFqcGc@._V1_SX300.jpg,97 min,,5.5,8,Tom and Huck (1995),1995.0,success
tt0114576,Peter Hyams,"Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game.","$20,350,171",https://m.media-amazon.com/images/M/MV5BZmUwYmQ1MGYtNDk4MC00YjkyLTg2YTktZmE3NmZkZDY2MGE1XkEyXkFqcGc@._V1_SX300.jpg,111 min,,5.9,9,Sudden Death (1995),1995.0,success
tt0113189,Martin Campbell,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.","$106,429,941",https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX300.jpg,130 min,65.0,7.2,10,GoldenEye (1995),1995.0,success
